customer_id,first_name,last_name,email,street,city,state,country
0,Elizabeth,Monroe,gregory10@example.com,7325 Robert Terrace Apt. 584,South Michaelmouth,Washington,Slovakia (Slovak Republic)
1,Marcus,Ware,simpsonjeffrey@example.com,1445 Davis Port Apt. 529,Cohenborough,Arkansas,Sri Lanka
2,Mariah,Gilbert,erica64@example.com,6984 Brown Skyway Suite 037,Katieville,Idaho,Niger
3,William,Lee,amandakelly@example.org,08004 Sullivan Circle Suite 776,Erichaven,New York,Holy See (Vatican City State)
4,Sandra,Johnson,jonesthomas@example.org,06372 Tiffany Fall,Port Aprilland,Massachusetts,Azerbaijan
5,Nicole,Rice,mmartinez@example.com,677 Brooks Course Suite 558,Jonesmouth,Ohio,Moldova
6,Joy,Calderon,bridget33@example.com,94260 Christina Walk Suite 485,Lindahaven,Wyoming,Belize
7,Kathryn,Hunt,diazrenee@example.net,91974 Tony Plaza Apt. 122,Triciabury,North Carolina,Guinea
8,Sharon,Mosley,amy26@example.org,6588 Patrick Courts,Cooleyberg,West Virginia,New Zealand
9,Anna,Fowler,owilliams@example.net,625 Mclaughlin Fall,East Teresa,Louisiana,Lebanon
10,Larry,Hanson,brianbecker@example.com,1977 Abigail Shores,Faulknermouth,North Dakota,Micronesia
11,Allison,Burns,ahamilton@example.org,995 Foster Walk,Michaelport,New Mexico,Nauru
12,Edward,Phillips,melissadaniels@example.com,1954 Daniel Hills Apt. 815,South Paulville,Florida,Romania
13,Jeremy,Woods,gregoryshields@example.com,1847 Gilbert Mill Suite 017,Jessicamouth,Louisiana,Canada
14,Karen,Ball,douglas16@example.net,14350 Burns Prairie Suite 053,South Robert,South Carolina,Venezuela
15,Jamie,Snyder,vblackburn@example.com,498 Richard Lodge Apt. 795,Haleyburgh,New Hampshire,Equatorial Guinea
16,Stephen,Curtis,fmoore@example.org,51961 Waller Run Suite 112,Jacobmouth,Michigan,Georgia
17,Katrina,Sharp,sergio48@example.org,709 Miguel Hill,East Maureen,New Jersey,Cote d'Ivoire
18,Tonya,Poole,johnandrews@example.net,2554 Sexton Row,East Eric,Massachusetts,Timor-Leste
19,Matthew,Love,craig05@example.com,54662 Alex Centers,Elliottchester,Idaho,Libyan Arab Jamahiriya
20,Robert,Baxter,nstokes@example.com,84466 Roth Road,Kimberlyfurt,Maryland,Mexico
21,Ricardo,Guerrero,edward45@example.com,135 Jamie Park,New Destinyberg,Michigan,Timor-Leste
22,Isabella,Owen,cunninghamtodd@example.net,54777 Joseph Divide,Kennethside,Arizona,Andorra
23,Jason,Vance,christinemorse@example.net,2760 Richard Harbor Apt. 345,Laurenshire,Missouri,Haiti
24,Valerie,Graham,christopherwheeler@example.org,5903 Gilbert Squares Apt. 734,Dianestad,New York,Cote d'Ivoire
25,Timothy,Sullivan,imalone@example.org,773 Powers Coves,West Debbie,Alaska,Latvia
26,Brian,Smith,ajackson@example.net,01062 Dawn Extensions Apt. 105,Woodsborough,Alaska,Sweden
27,Jeremy,Howe,amyhess@example.org,890 Logan Loaf Apt. 879,West Codychester,Colorado,Swaziland
28,Walter,Peters,jeffreymoore@example.org,98342 Stevens Lakes,Taylorview,Alaska,Albania
29,Richard,Graham,dominique65@example.org,48837 Campbell View,South Oliviabury,Florida,Honduras
30,Sarah,King,jessica57@example.net,819 Cole Common Suite 215,Lake Kimberly,Nevada,Guinea-Bissau
31,Linda,Fisher,amy35@example.net,4969 Peter View,Sheilamouth,Georgia,South Africa
32,Wesley,Middleton,timothy33@example.net,45134 Alexis Overpass,Pattersonland,Massachusetts,Costa Rica
33,Elijah,Bradford,estradarobert@example.org,604 Holt Union Suite 431,Garciachester,New Mexico,Congo
34,Melanie,Arnold,erin72@example.net,9036 Adams Unions Suite 347,Elizabethview,Hawaii,Saint Barthelemy
35,Julie,Mason,murphyelizabeth@example.com,7692 Griffin Harbors,New Elizabeth,Maine,Norway
